TEMA,asignatura
Líquidos y electrolitos,Asignatura 1
C-SM Organización microscópica del sistema urinario,Asignatura 6
chequeo semanal,Asignatura 9
Taller anfiteatro de oido,Asignatura 7
Taller modificación del balance de líquidos y electrolitos desde la intervención en la función renal,Asignatura 6
Segundo examen,Asignatura 10
C-SM Estructuras micro renales 2 (Estructuras tubulares e irrigación),Asignatura 6
Orientación y planos,Asignatura 1
Segundo examen,Asignatura 10
Tutoria 2 Semiologia Cardiovascular/Respiratorio,Asignatura 10
Procedimientos SNG /IM Acceso venoso / Especuloscopía/sonda vesical,Asignatura 10
Taller de intervenciones farmacológicas de transtornos del pensamiento,Asignatura 9
Tutoria 3 Semiologia Abdomen,Asignatura 10
TBC,Asignatua 4
Arbovirosis - Situaciones integradoras,Asignatura 10
Hematoquecia /Sangrado de vías digestivas bajas (énfasis en patología neoplásica),Asignatura 5
Medidas de impacto,Asignatura 3
Determinantes de los patrones de actividad física I,Asignatura 3
Presentación curso,Asignatura 10
Chequeo semanal,Asignatura 7
Oliguria/ Lesión renal secundaria a hipovolemia,Asignatura 6
Examen habilidades clínicas,Asignatura 7
Curso de la vida como determinante en salud,Asignatura 1
Correlación imágenes DX abdomen y pelvis ,Asignatura 7
Reproductor masculino,Asignatura 7
Chequeo 9,Asignatura 9
"Examen práctico histología, neuroanatomía y PFPC III",Asignatura 7
Tutoria 2 Semiologia Cardiovascular/Respiratorio,Asignatura 10
Induccion,Asignatura 10
Anfiteatro pelvis osea & Cond. Inguinal ,Asignatura 7
Enfermedad genética frecuente en una región,Asignatura 1
Tutoria 3 Semiologia Abdomen,Asignatura 10
Intoxicación aguda por alcohol,Asignatura 1
"Examen práctico histología, neuroanatomía y PFPC III",Asignatura 7
Semiologia cardiaca CSC. Grupo Jueves ,Asignatura 2
actividad integradora - Psicosis,Asignatura 9
Conceptos básicos en genética,Asignatura 1
Estructuras microscópicas riñón y vías urinarias 1,Asignatura 6
Cálculo de fenómenos eléctricos biológicos,Asignatura 1
Presentación de protocolos,Asignatura 3
Repaso Neuroanatomía - histología,Asignatura 9
Explicación biosocial de la conducta humana normal (conducta motivada),Asignatura 9
Acné - Leshmaniasis - Lepra - Situaciones integradoras,Asignatura 10
Intoxicación aguda por alcohol,Asignatura 1
Semiologia cardiaca CSC. Grupo Viernes,Asignatura 2
Estudio-repaso- anatomia/histologia y patología,Asignatura 4
"Lab bioq, Fisio, Microscopia",Asignatura 1
1a Evaluación sustentación integradoras grupal,Asignatura 5
Tutoria 3 Semiologia Abdomen,Asignatura 10
 Variables del sistema cardiovascular ,Asignatura 1
Semiología general y errores frecuentes en aproximación inicial al paciente,Asignatura 7
Práctica de enfermería ,Asignatura 2
Ventilación y mecanica ventilatoria fundamentación teórica,Asignatura 2
Taller de anatomía vias de respuesta autónoma,Asignatura 9
Bioquímica Clínica,Asignatura 4
Lavado de Manos,Asignatura 1
Revisión de Notas,Asignatura 3
Infertilidad,Asignatura 1
Cálculo de fenómenos eléctricos biológicos,Asignatura 1
Repaso Neuroanatomía - histología,Asignatura 7
Seguimiento de tutores,Asignatura 3
Principios de Medicina Nuclear,Asignatura 2
2a Evaluación sustentación integradoras grupal,Asignatura 6
Intoxicación aguda por alcohol,Asignatura 1
Estructura y función de azúcares,Asignatura 1
Sesión Ekg 4. /ejercicios integradores cardio respiratorio/ Rx tórax,Asignatura 10
Semiologia cardiaca CSC. Grupo Jueves ,Asignatura 2
Semiologia cardiaca CSC. Grupo Jueves ,Asignatura 2
Generalidades de cráneo,Asignatura 7
Chequeo semanal,Asignatura 7
Patología de páncreas y vía biliar,Asignatura 5
Prueba de tolerancia a la glucosa oral,Asignatura 4
Supletorios III corte (Pruebas rápidas y  Parcial),Asignatura 7
Tutoria 2 Semiologia Cardiovascular/Respiratorio,Asignatura 10
Poblaciones y sujetos de estudio,Asignatura 3
Mantenimiento de la salud - Situaciones integradoras,Asignatura 10
Semiología Ruidos Cardiacos / Sesión Ekg 2.,Asignatura 10
Presentación de información ,Asignatura 1
Reunión con tutores,Asignatura 3
Acompañamiento decanatura (Dirección de carrera),Asignatura 3
Lípidos y vitaminas liposolubles,Asignatura 1
Glándulas salivares y páncreas,Asignatura 5
Tutoria 1 Semiologia General/Cabeza y Cuello,Asignatura 10
Repaso Neuroanatomía - histología,Asignatura 7
Medula espinal configuración interna segmentación medular y reflejos,Asignatura 7
Datos contextuales fuentes secundarias ,Asignatura 9
Taller de miembro inferior 2,Asignatura 9
Expresando la Medicina IV Grupo 1 Compasión y vulnerabilidad / Grupo 2 Medicina Narrativa,Asignatura 9
EVALI,Asignatua 4
Farmacodinamia de la sinapsis,Asignatura 7
"Anfiteatro de medula espinal, configuración interna reflejos y contenido del canal medular",Asignatura 7
Tutoria 2 Semiologia Cardiovascular/Respiratorio,Asignatura 10
Anatomía de los riñones y las vías urinarias (SYM2),Asignatura 7
Semiologia Ruidos Respiratorios /Rx tórax/ Sesión Ekg 3.,Asignatura 10
Ética de la fertilidad,Asignatura 10
Simposio bloque naranja,Asignatura 4
Semiologia cardiaca CSC. Grupo Viernes,Asignatura 2
Primera evaluación parte grupal Asma,Asignatura 1
78. Cancer en el anciano,Asignatura 10
C-SM Biología del desarrollo de tracto gastrointestinal 2,Asignatura 4
Fibrosis Quistica,Asignatura 1
Intervenciones no farmacológicas en adultos mayores (Centro de simulación),Asignatura 10
Revisiones sistemáticas de la literatura,Asignatura 10
Cuando el anciano cae,Asignatura 7
16. Malnutrición,Asignatura 4
Presentación DII,Asignatura 9
Prácticas 1 y 2 de fisiología cardiovascular,Asignatura 1
Reproductor masculino,Asignatura 7
Tutoria 3 Semiologia Abdomen,Asignatura 10
Examen final oral primer semestre ,Asignatura 2
Primera evaluacion teórica  fundamentos de la clínica,Asignatura 1
79. Taller intervenciones: presentación final de los trabajos ,Asignatura 10
Formas farmacéuticas y parámetros farmacocinéticos,Asignatura 1
Avances taller de Vulnerabilidad,Asignatura 9
Antibióticos en piel,Asignatura 10
Debilidad e ictericia / Cirrosis ,Asignatura 5
"Medioambiente, ética y salud",Asignatura 1
Semiologia cardiaca CSC. Grupo Jueves ,Asignatura 2
Interpretación de las pruebas de función hepática,Asignatura 7
Actividad integadora - Afecto,Asignatura 9
Músculo como órgano endocrino.,Asignatura 4
Meiosis,Asignatura 1
Tutoria 1 Semiologia General/Cabeza y Cuello,Asignatura 10
Nutrición en el paciente geríatrico,Asignatura 10
"Neurona, glia y fibra nerviosa",Asignatura 1
Pares craneanos Taller,Asignatura 9
Presentación estudiantes -tutoria 1,Asignatura 10
Edema/ Enfermedad renal diabética,Asignatura 6
Mitocondria,Asignatura 1
Terminología,Asignatura 1
Acné - Leshmaniasis - Lepra - Situaciones integradoras,Asignatura 10
Intervención,Asignatura 10
Semiologia cardiaca CSC. Grupo Viernes,Asignatura 2
Farmacología secreción ácida,Asignatura 5
Transtornos hemodinámicos (patología)Meek,Asignatura 4
Regulación de la fecundidad. Situaciones integradoras.,Asignatura 10
Comunicación intercelular para el establecimiento de tejidos,Asignatura 1
Cromosomopatías,Asignatura 1
Vejez y Envejecimiento,Asignatura 1
Histología de las vías aéreas superiores,Asignatura 3
Circuito equivalente,Asignatura 1
2. Infeccion respiratoria alta,Asignatua 4
Sangrado vaginal,Asignatura 7
Semiologia cardiaca CSC. Grupo Viernes,Asignatura 2
OSCE 1,Asignatura 10
Semiología y psicopatología de la conducta sexual,Asignatura 9
Sistema Osteomuscular,Asignatura 1
Tutoria 1 Semiologia General/Cabeza y Cuello,Asignatura 10
Edema/ Enfermedad renal diabética,Asignatura 6
Introducción a la inteligencia artificial,Asignatura 1
Estructuras macroscópicas riñón y vías urinarias ,Asignatura 6
16. Piel Fungicas ,Asignatura 10
"Genitales ambiguos/ Hiperplasia suprarrenal congénita (Impacto hidroelectrolítico, ácido-base y en el desarrollo sexual)",Asignatura 6
Tutoria 1 Semiologia General/Cabeza y Cuello,Asignatura 10
Semiología Cardiovascular,Asignatura 10
Antibioticoterapia NAC,Asignatura 10
Actividad integadora - Afecto,Asignatura 9
Semiologia cardiaca CSC. Grupo Viernes,Asignatura 2
C-SM Anatomía funcional de V3,Asignatura 4
Silicoantracosis,Asignatura 1
Seguimiento de tutores,Asignatura 3
EXAMEN TEÓRICO CMC,Asignatura 9
 Mecanismos potenciales para intervenir el eje hipotálamo - hipofisiario - ovárico.,Asignatura 7
Segunda evaluación teórica SYM1,Asignatura 4
Tutoria 2 Semiologia Cardiovascular/Respiratorio,Asignatura 10
Debilidad e ictericia / Cirrosis ,Asignatura 5
Introducción a radiología,Asignatura 1
Fertilización,Asignatura 1
29. Infecciones Cardiológicas (Chagas-Endocarditis-Fiebre Reumática),Asignatura 10
Motivaciones no concientes de la conducta,Asignatura 9
Evaluación final  práctica. Sitemas y Metabolismo1 (Anatomia-histologia-patologia) Retroalimentación del examen,Asignatura 4
Tutoria 3 Semiologia Abdomen,Asignatura 10
Simposio Bloque Naranja,Asignatura 2
"Examen práctico histología, neuroanatomía y PFPC III",Asignatura 7
Semiología y psicopatología del lenguaje,Asignatura 9
Seminario de control neuroendocrino de la glicemia (estados pre y postprandial) y análisis de resultados curva de tolerancia a la glucosa oral.,Asignatura 5
Tutoria 3 Semiologia Abdomen,Asignatura 10
Presentación videos,Asignatura 9
"Cálculo de riesgo, casos de herencia no mendeliana",Asignatura 1
Seguimiento de tutores,Asignatura 3
EXAMEN ORAL,Asignatura 10
Estructuras microscópica hígado y vesícula biliar,Asignatura 5
Taller farmacocinética/ Absorción,Asignatura 5
Cardiopatía congénita,Asignatura 4
Alteraciones estructurales de lesiones vasculares y traumáticas ,Asignatura 7
Histología funcional desde boca hasta estómago,Asignatura 4
Tutoria 1 Semiologia General/Cabeza y Cuello,Asignatura 10
EVALI,Asignatua 4
"Pared abdominal, cavidad oral, faringe, esófago, estómago y bazo",Asignatura 7
Enfermedad genética frecuente en una región,Asignatura 1
Anatomía de la pélvis ósea,Asignatura 7
Tutoria 4 Semiologia Neurologica/Musculo-esqueletico,Asignatura 10
Tutoria 4 Semiologia Neurologica/Musculo-esqueletico,Asignatura 10
Tutoria 2 Semiologia Cardiovascular/Respiratorio,Asignatura 10
Sistema urinario 1,Asignatura 6
Intervenciones no farmacológicas en adultos mayores (Centro de simulación),Asignatura 10
Trastornos de oxigenación y ventilación/Vía aérea,Asignatura 10
"Epitelios de revestimiento y glandulares (Placas de los diferentes tejidos. Taller de Técnica Histologíca: H-E, Mallory, PAS y ME ,inmunohistoquimica)",Asignatura 1
C-SM Organización microscópica del hueso 1,Asignatura 7
Semiología osteomuscular 2 : extremidad superior,Asignatura 9
Corazón (Histología),Asignatura 1
"Disfagia /  Trastorno de la motilidad gastrointestinal
",Asignatura 5
chequeo semanal,Asignatura 9
Infección respiratoria alta,Asignatura 4
Malnutrición,Asignatura 4
Papel renal en el control y regulación de la presión arterial y del equilibrio ácido-base,Asignatura 6
Bases biológicas de la conducta alimentaria,Asignatura 9
Psicopatología de la inteligencia y el aprendizaje - valoración clínica,Asignatura 9
8. Dolor toracico no coronario,Asignatura 1
Actividad integradora 11 PSICOSIS,Asignatura 9
Reunión con tutores,Asignatura 3
Personas en condición de discapacidad,Asignatura 9
9. Hipovolemia,Asignatura 1
"Disfagia /  Trastorno de la motilidad gastrointestinal
",Asignatura 4
Examen parcial teórico,Asignatura 7
"Neurona, glia y fibra nerviosa",Asignatura 1
Hipovolemia,Asignatura 1
Semiologia cardiaca CSC. Grupo Viernes,Asignatura 2
Generalidades bioenergética/  Generalidades de las biomoléculas,Asignatura 4
Tejido linfoide,Asignatura 1
Migración y vulnerabilidad,Asignatura 9
Anfiteatro de Nucleos basales y tallo y Taller de vías medulares y cerebelosas,Asignatura 9
"C-SM Aspectos genéticos del crecimiento celular, tisular y pondoestatural",Asignatura 7
Comportamientos de riesgo. Percepción de riesgo,Asignatura 7
Farmacología de las insulinas,Asignatura 4
"Unidades, concentraciones y pH ",Asignatura 1
Presentación curso,Asignatura 10
Diarrea / malabsorción,Asignatura 5
Examen final poblacion y salud,Asignatura 4
Arbovirosis,Asignatura 10
Tutoria 1 Semiologia General/Cabeza y Cuello,Asignatura 10
Pared abdominal,Asignatura 7
Sistemas reproductores masculino y femenino ,Asignatura 7
Actividad integradora -dolor,Asignatura 7
24. Laboratorio de Resistencia Antimicrobiana  - Grupo B,Asignatura 10
1a Evaluación sustentación integradoras grupal,Asignatura 5
Estructuras macroscópicas riñón y vías urinarias ,Asignatura 6
actividad integradora de cierre,Asignatura 9
Chequeo semanal,Asignatura 7
Hematoquecia /Sangrado de vías digestivas bajas (énfasis en patología neoplásica),Asignatura 4
"Ténicas histologicas (Placas de los diferentes tejidos. Taller de Técnica Histologíca: H-E, Mallory, PAS y ME ,inmunohistoquimica)",Asignatura 1
Procedimientos SNG /IM Acceso venoso / Especuloscopía/sonda vesical,Asignatura 10
Ética médica y riesgo,Asignatura 7
Enzimas: Cinética e inhibición enzimática,Asignatura 1
Gestación adolescente en población desplazada,Asignatura 7
Caso 15. Inmunosupresión - HIV,Asignatura 10
Reproductor masculino,Asignatura 7
Principios de gerontología,Asignatura 7
Regulación sistemica cardiovascular,Asignatura 1
Transferencia del conocimiento científico,Asignatura 10
Biomoléculas: Función en el metabolismo,Asignatura 1
Regulación neurobiológica de la función cardiovascular,Asignatura 9
Simposio bloque naranja,Asignatura 4
Caso 04. OTRL - Ojo Rojo,Asignatura 10
Teorías de membrana,Asignatura 1
chequeo semanal,Asignatura 9
Biomoléculas,Asignatura 1
Principios básicos de radiología,Asignatura 2
Tutoria 1 Semiologia General/Cabeza y Cuello,Asignatura 10
Telemedicina,Asignatura 10
70. Oportunistas HIV ,Asignatura 10
Pared arterial,Asignatura 1
Actividad integradora  5 MOV ANORMALES,Asignatura 9
Actividad integradora - glaucoma,Asignatura 7
Supletorio II corte (Parcial),Asignatura 7
Cáncer de Piel,Asignatura 1
Organización microscópica del hueso,Asignatura 7
Red autonómica central,Asignatura 9
Semiologia cardiaca CSC. Grupo Jueves ,Asignatura 2
Anfiteatro de Dorso,Asignatura 7
TBC,Asignatua 4
Supletorios CMC - FPC III - S y V,Asignatura 9
"Medioambiente, ética y salud",Asignatura 1
Enfermedad por reflujo gastroesofágico - Situaciones integradoras,Asignatura 10
Segunda evaluación teórica SYM1,Asignatura 4
Toxicidad renal de fármacos,Asignatura 6
HTA-IAM,Asignatura 1
Patrones de herencia,Asignatura 1
C-SM Trastornos del colon,Asignatura 5
C-SM Organización microscópica de intestinos delgado y grueso ,Asignatura 4
Funciones energéticas y estructurales de monosacáridos,Asignatura 1
Medidas epidemiológicas y generación de informes,Asignatura 1
Examen teórico CMC,Asignatura 7
Cadena de custodia - asalto sexual,Asignatura 10
Introducción a la asignatura de Salud y Vulnerabilidad,Asignatura 9
Enfermedad por transporte protéico intracelular,Asignatura 1
"Estilos de vida, cultura y salud como determinantes sociales",Asignatura 1
Soporte Vital,Asignatura 1
Semiologia cardiaca CSC. Grupo Jueves ,Asignatura 2
1. Contaminación,Asignatura 4
Anatomía funcional de intestinos y páncreas,Asignatura 5
Examen final teórico CMC,Asignatura 9
Histología de la tiroides,Asignatua 4
Tutoria 3 Semiologia Abdomen,Asignatura 10
Taller de exploración psicopatológica 6. Examen mental de entrevista a paciente,Asignatura 9
Caso 07. Sindrome Anémico,Asignatura 10
Búsquedas de la literatura,Asignatura 10
Planos corporales y derivados de capas germinativas,Asignatura 1
Enzimas: Cinética e inhibición enzimática,Asignatura 1
Aparato reproductor femenino y glándulas mamarias,Asignatura 7
"Lab bioq, Fisio, Microscopia",Asignatura 1
Taller modificación del balance de líquidos y electrolitos desde la intervención en la función suprarrenal,Asignatura 7
"Anfiteatro región supraclavicular, superficial de cuello, tiroides y vascular de cuello/ Laboratorio histología de tiroides",Asignatura 1
50. Laboratorio Uroanálisis - Grupo A,Asignatura 10
Diarrea / malabsorción,Asignatura 5
¿Cómo funciona el sistema de salud colombiano?,Asignatura 9
Hemotransfusión,Asignatura 1
Interpretación del uroanálisis,Asignatura 7
41. Hemostasia: Coagulación fase humoral y mecanismos de control (patologias asociadas y dx laboratorio),Asignatura 10
Terapia eléctrica en reanimación/desfibrilación/cardioversión/Marcapaso transcutáneo,Asignatura 10
72. Vulnerabilidad social en adulto mayor,Asignatura 10
Segunda Evaluación Teoríca Sistemas y Metabolismo I,Asignatura 2
Glándulas salivares y páncreas,Asignatura 5
Tutoria 3 Semiologia Abdomen,Asignatura 10
OSCE 2,Asignatura 10
"Pared abdominal, cavidad oral, faringe, esófago, estómago y bazo",Asignatura 7
EVALUACION PRÁCTICA,Asignatura 7
Terminología,Asignatura 1
Lípidos y vitaminas liposolubles,Asignatura 1
Tercera Evaluación Parcial,Asignatura 7
EXAMEN ORAL,Asignatura 10
Introducción (Antecedentes y Justificación).,Asignatura 3
71. Abordaje de la evaluación social en el adulto mayor,Asignatura 10
Semiologia cardiaca CSC. Grupo Viernes,Asignatura 2
"Intestino delgado y grueso, páncreas e hígado",Asignatura 7
Primer examen,Asignatura 10
Semiologia cardiaca CSC. Grupo Jueves ,Asignatura 2
Patología reproductiva Femenina (Tracto genital femenino) + Patología de Seno,Asignatura 7
Seminario de control neuroendocrino de la glicemia (estados pre y postprandial) y análisis de resultados curva de tolerancia a la glucosa oral.,Asignatura 5
Reproductor masculino,Asignatura 7
Tutoria 3 Semiologia Abdomen,Asignatura 10
Tutoria 4 Semiologia Neurologica/Musculo-esqueletico,Asignatura 10
Neuropatia Guillain Barre,Asignatura 1
Tutoria 2 Semiologia Cardiovascular/Respiratorio,Asignatura 10
Antibióticos en infecciones de transmisión sexual,Asignatura 10
Simposio Bloque Naranja,Asignatura 2
Errores Innatos del Desarrollo y Crecimiento Morfogenético,Asignatura 7
Sistema nervioso autonomo,Asignatura 1
Seguimiento de tutores,Asignatura 3
Definición e introducción a la medición del riesgo. Conceptualización de enfoque de riesgo y enfoque poblacional,Asignatura 7
Patología neurodegenerativa,Asignatura 9
Seguimiento de tutores,Asignatura 3
 Evaluación final Práctica Sistemas y Metabolismo I,Asignatura 3
60. Contextualizacion Endocrinología Bàsicas,Asignatura 10
Mediastino,Asignatura 1
Semiologia cardiaca CSC. Grupo Viernes,Asignatura 2
Taller Semiología de vasos perifericos y toma de TA. Grupo Viernes,Asignatura 2
Prevención terciaria - Prevención cuaternaria,Asignatura 7
Aminoácidos y proteínas,Asignatura 1
"Anfiteatro de medula espinal, configuración interna reflejos y contenido del canal medular",Asignatura 7
Tutoria Psiquiatria,Asignatura 10
Seguimiento de tutores,Asignatura 3
Transporte celular,Asignatura 1
Oliguria/ Lesión renal secundaria a hipovolemia,Asignatura 6
Simposio Bloque Naranja,Asignatura 2
2a Evaluación sustentación integradoras grupal,Asignatura 7
Actividad integradora - oido,Asignatura 7
Tejido nervioso,Asignatura 7
54. Dengue hemorrágico,Asignatura 10
18. Obesidad,Asignatura 4
 Evaluación final Práctica Sistemas y Metabolismo I,Asignatura 3
Proteínas de interés biológico,Asignatura 1
"Unidades, concentraciones y pH ",Asignatura 1
Taller de intervenciones farmacológicas de transtornos del pensamiento,Asignatura 9
Prácticas 3 y 4 de fisiología cardiovascular,Asignatura 4
EXAMEN ORAL,Asignatura 10
Aspectos evolutivos de la conducta humana,Asignatura 9
Caso 09. Gineco - EPI/ETS,Asignatura 10
Inhaloterapia,Asignatura 10
Examen final,Asignatura 3
Histología de Cortezas SNC,Asignatura 7
Taller regulación neurobiológica de la función respiratoria-cardiovascular,Asignatura 9
Cuidado de la casa común,Asignatura 2
Anfiteatro de Nucleos basales y tallo y Taller de vías medulares y cerebelosas,Asignatura 9
Prácticas 3 y 4 de fisiología cardiovascular,Asignatura 4
Vejiga dolorosa,Asignatura 10
Taller sondas vesicales,Asignatura 7
Lavado de Manos,Asignatura 1
Organización microscópica del hueso,Asignatura 7
Historia clínica Anamnesis y examen,Asignatura 10
Embriología de gusto y olfato,Asignatura 9
Tutoria 3 Semiologia Abdomen,Asignatura 10
Silicoantracosis,Asignatura 1
Evaluacion Causalidad RAMs dermatológicas,Asignatura 10
Atmósfera y seres vivos,Asignatura 3
Ética de la fertilidad,Asignatura 10
Presentación estudiantes -tutoria 1,Asignatura 10
Sangrado vaginal,Asignatura 7
Embriología osteomuscular 1,Asignatura 7
Primera evaluación sistemas y metabolismo I,Asignatura 3
Regulación neurobiológica de la función respiratoria,Asignatura 9
"17. Piel, Terminología, embriologia, histología",Asignatura 10
Silicoantracosis,Asignatura 1
Tutoria 1 Semiologia General/Cabeza y Cuello,Asignatura 10
Organización del sistema cardiovascular,Asignatura 1
EXAMEN TEORICO PRACTICO FPC III ,Asignatura 9
Semiologia cardiaca CSC. Grupo Jueves ,Asignatura 2
Semiologia cardiaca CSC. Grupo Viernes,Asignatura 2
Prácticas 3 y 4 de fisiología cardiovascular,Asignatura 4
Embarazo y control prenatal - Situaciones integradoras,Asignatura 10
Tutoria 4 Semiologia Neurologica/Musculo-esqueletico,Asignatura 10
Taller de exploración psicopatológica 2:  Anamnesis - historia clínica,Asignatura 9
Chequeo semanal,Asignatura 7
Tutorías Clínica Grupo Jueves,Asignatura 2
Laboratorio histología de oido,Asignatura 7
Estructuras microscópicas riñón y vías urinarias 1,Asignatura 6
Tutoria 4 Semiologia Neurologica/Musculo-esqueletico,Asignatura 10
Tutoria 3 Semiologia Abdomen,Asignatura 10
Fisiopatología de los síntomas esofágicos y semiología de las enfermedades esofágicas mas frecuentes (PC2),Asignatura 7
Casos clínicos: correlación clínica-endoscópica en las enfermedades digestivas,Asignatura 7
23. Piel - Leishmaniasis,Asignatura 10
Mantenimiento de lasalud - Cáncer,Asignatura 10
Farmacogenética (Farmacología),Asignatura 1
HTA-IAM,Asignatura 1
C-SM Aspectos anatomo-patológicos de las enfermedades intestinales,Asignatura 5
Enfermedad de Chagas,Asignatura 10
Psicodesarrollo,Asignatura 9
"Anfiteatro de medula espinal, configuración interna reflejos y contenido del canal medular",Asignatura 7
"C-SM Genómica funcional, análisis de redes, biología de sistemas y análisis evolutivo en el entendimiento del envejecimiento humano",Asignatura 7
Teorías de origen de la vida y evolución de las especies,Asignatura 1
Tutoria 1 Semiologia General/Cabeza y Cuello,Asignatura 10
Estructuras microscópica hígado y vesícula biliar,Asignatura 5
"ESM-EVALUACIÓN 1ER PERIODO
SYM NUTRICIÓN (9-11 am)",Asignatura 6
OSCE 2,Asignatura 10
Seguimiento de tutores,Asignatura 3
Repaso Neuroanatomía - histología,Asignatura 9
 Evaluación final Práctica Sistemas y Metabolismo I,Asignatura 3
Anfiteatro Sistema Urinario,Asignatura 7
Examen final oral,Asignatura 4
Supletorios IV sem CMC y FPC III,Asignatura 7
Examen final PC1,Asignatura 4
Anfiteatro corazon y circulación coronaria/ Laboratorio histología de corazón grupos 2,Asignatura 1
Psicopatología de la personalidad,Asignatura 9
Primera evaluación parte grupal Asma,Asignatura 1
Caso 08. Gastroenterología - EDA,Asignatura 10
Osteoartritis - Gota - Artritis reumatoide - Pruebas diagnósticas en enfermedades reumatológicas - Situaciones integradoras,Asignatura 10
"Anfiteatro pared toracica, mediastino, hilio pulmonar  /Laboratorio pulmón",Asignatura 1
Taller modificación del balance de líquidos y electrolitos desde la intervención en la función renal,Asignatura 6
Escenarios Simulados con Debriefing,Asignatura 10
Taller farmacocinética/ Absorción,Asignatura 5
Obesidad,Asignatura 4
Bases psicodinámicas de la personalidad. Mecanismos de defensa,Asignatura 9
C-SM Procesamiento tubular del filtrado y homeostasis hidroelectrolítica 1,Asignatura 6
Tutorías Clínica Grupo Jueves,Asignatura 2
13. Cardiopatía congénita,Asignatura 4
Polisomnografía,Asignatura 9
5. TBC,Asignatura 1
Taller de miembro superior 1,Asignatura 9
Antibioticoterapia NAC,Asignatura 10
Tutoria Psiquiatria,Asignatura 10
Malformaciónes congénitas múltiples,Asignatura 1
Taller de miembro superior 2 G1,Asignatura 7
Alteraciones clinicas de los lipidos,Asignatura 2
Tutoria 1 Semiologia General/Cabeza y Cuello,Asignatura 10
Nucleótidos y cofactores,Asignatura 1
Abordaje Integrado del Cáncer de Próstata,Asignatura 6
"Laboratorio Simulación farmacocinética 1. Distribución, diferentes vías de administración. Gráficas Cp vs tiempo Dosis única y dosis múltiples. Parámetros farmacocinéticos: Volumen de distribución, vida media. Características de los gráficos.",Asignatura 7
Introspección y prospección,Asignatura 9
Taller anfiteatro de oido,Asignatura 7
EXAMEN TEÓRICO CMC,Asignatura 9
15. Diabetes Tipo 1,Asignatura 4
Prácticas 1 y 2 de fisiología cardiovascular,Asignatura 1
EVALUACION FINAL,Asignatura 10
Semiología y psicopatología del pensamiento,Asignatura 9
Taller de entrevista clínica. Grupo jueves,Asignatura 2
Tutorías Clínica Grupo Viernes,Asignatura 2
Adaptación metabólica al exceso de nutrientes,Asignatura 4
"EVALUACIÓN 2° PERIODO
9-11 am",Asignatura 7
Antiretrovirales,Asignatura 10
Semiologia cardiaca CSC. Grupo Jueves ,Asignatura 2
Pruebas diagnósticas,Asignatura 10
Enfermedad genética frecuente en una región,Asignatura 1
43. Laboratorio Gastro - EDA - Grupo A,Asignatura 10
Cadena respitoria ,Asignatura 4
Tutorías Clínica Grupo Jueves,Asignatura 2
Taller de examen físico osteomuscular ,Asignatura 9
"Composicion Corporal  (antropometria ), gasto energético y metabolismo.",Asignatura 4
¿Fumar para manejar el estrés?,Asignatura 1
chequeo semanal,Asignatura 9
Prueba de tolerancia a la glucosa oral,Asignatura 4
Simposio Bloque Naranja,Asignatura 2
Estructura y función de azúcares,Asignatura 1
C-SM Estructuras micro renales 1 (Intersticio y ovillo glomerular) ,Asignatura 6
Taller: Ventilación pulmonar y Mécanica ventilatoria Jueves,Asignatura 2
C-SM Neoplasias prevalentes del sistema reproductor femenino  (Seno),Asignatura 7
Clasificación internacional de enzimas,Asignatura 1
Toxicidad renal de fármacos,Asignatura 6
Supletorios IV sem CMC y FPC III,Asignatura 7
8. Dolor toracico no coronario,Asignatura 1
Evaluación oral,Asignatura 1
Patología de vasos sanguíneos-Meek,Asignatura 4
Examen componente práctico módulo 3 FPC III,Asignatura 9
Deshidratación (EDA)  / Evaluación oral biológicos,Asignatura 1
19. Laboratorio de Microbiología - Grupo B,Asignatura 10
Edema/ Enfermedad renal diabética,Asignatura 6
Tutoria 2 Semiologia Cardiovascular/Respiratorio,Asignatura 10
Taller de encéfalo y medula,Asignatura 9
17. Dislipidemia,Asignatura 4
Tutoria 3 Semiologia Abdomen,Asignatura 10
Tutoria 1 Semiologia General/Cabeza y Cuello,Asignatura 10
Comunicación del riesgo,Asignatura 7
Ingresos economicos y estatus social,Asignatura 1
Repaso Neuroanatomía - histología,Asignatura 9
chequeo semanal,Asignatura 9
"Lab bioq, Fisio, Microscopia",Asignatura 1
5. TBC,Asignatura 1
Aparato reproductor femenino y glándulas mamarias,Asignatura 7
 Evaluación final Práctica Sistemas y Metabolismo I,Asignatura 3
Paredes y contenido de la pelvis blanda,Asignatura 7
chequeo semanal,Asignatura 9
Taller de miembro superior 3 y 4,Asignatura 9
Taller de miembro inferior 2,Asignatura 9
Laboratorio integrador de neurofisiología (aplicación de la inteligencia artificial),Asignatura 9
Miastenia Gravis,Asignatura 2
68. HIV Contextualizacion Básicas,Asignatura 10
"ESM-EVALUACIÓN 1ER PERIODO
SYM NUTRICIÓN (9-11 am)",Asignatura 6
Histología del Oído,Asignatura 9
49. ETS - Sindromes de secrecion uretro vaginales y Secreciones vaginales - NO ETS - Vaginosis,Asignatura 10
Semiología de Neurología,Asignatura 10
Embriología del sistema respiratorio,Asignatura 1
Semiologia cardiaca CSC. Grupo Jueves ,Asignatura 2
Redes Asistenciales Integradas ,Asignatura 9
Infecciones de transmisión sexual - Situaciones integradoras,Asignatura 10
Enfermedad renal aguda y crónica,Asignatura 7
